Script,Lines,Functions
trinity-record-test.sh,      42,0
0,,
create-missing-repos-and-deploy.sh,      47,0
0,,
claude-ai-coordinator.sh,      29,0
0,,
memory-infinite-todos.sh,     615,9
cloudflare-api-connect.sh,      75,2
memory-task-marketplace.sh,     423,9
setup-integrations.sh,       7,0
0,,
get-railway-workspaces.sh,       8,0
0,,
blackroad-leaderboard.sh,      80,0
0,,
claude-achievements.sh,     100,0
0,,
fix-tunnel-now.sh,      90,0
0,,
claude-leaderboard.sh,      80,0
0,,
shellfish-pi-deploy.sh,     431,18
setup-deployment-system.sh,     199,0
0,,
memory-dependency-notify.sh,     376,9
claude-collaboration-watch-bot.sh,     357,8
integrate-bots-with-canva.sh,      11,0
0,,
deploy-to-github-now.sh,      41,0
0,,
get-workspaces.sh,       8,0
0,,
blackroad-progress.sh,     577,11
trinity-check-compliance.sh,      59,0
0,,
deploy-starter-to-repos.sh,     181,2
pages-connection-commands.sh,      12,0
0,,
blackroad-pr-coordinator.sh,     367,8
blackroad-autodeploy-system.sh,     505,19
memory-redlight-templates.sh,     650,31
blackroad-agent-registry.sh,     486,8
blackroad-ai-coordinator.sh,      29,0
0,,
test-5-more-repos.sh,      50,0
0,,
claude-direct-messaging.sh,      92,3
memory-sync-daemon.sh,     432,17
watch-claude-collaboration.sh,     174,10
wrangler-deploy-all.sh,     206,8
deploy-dashboard-to-cloudflare.sh,      15,0
0,,
memory-task-marketplace-v2.sh,     423,9
cf-deploy-dashboard.sh,       5,0
0,,
setup-droplet-tailscale.sh,      50,0
0,,
memory-collaboration-reminder.sh,     281,5
deploy-all-now.sh,     226,10
blackroad-deploy-all.sh,     242,8
railway-api-test.sh,       8,0
0,,
railway-get-projects.sh,      10,0
0,,
DEPLOY-FOR-REAL.sh,     108,1
setup-operator-user.sh,      64,0
0,,
memory-realtime-context.sh,     338,6
blackroad-mesh-join.sh,     237,12
blackroad-deploy-system.sh,     380,10
setup-cloudflare-dns.sh,      91,1
blackroad-skill-matcher.sh,     373,6
test-cf-auth.sh,       7,0
0,,
memory-collaboration-dashboard-v2.sh,     333,8
claude-pr-coordinator.sh,     367,8
SINGULARITY_MODE.sh,      88,0
0,,
greenlight-deploy.sh,     442,13
blackroad-collaboration-watch-bot.sh,     357,8
blackroad-codex-index-all.sh,     230,3
direct-wrangler-deploy-all.sh,      96,1
memory-collaboration-dashboard.sh,     333,8
regtest-env.sh,       5,0
0,,
setup-cloudflare-dns-blackroad-io.sh,     192,1
blackroad-traffic-light.sh,      95,5
memory-system.sh,     422,12
test-subdomain-ssh-collaboration.sh,     104,0
0,,
deploy-master-workflow-everywhere.sh,       4,0
0,,
auto-connect-via-api.sh,      79,1
deploy-next-4.sh,      52,1
collaboration-analytics.sh,      82,0
0,,
cloudflare-github-integration-test.sh,     114,1
blackroad-codex-prism-analysis.sh,     291,1
blackroad-codex-verification-suite.sh,     190,1
run-singularity-demo.sh,     144,0
0,,
greenlight-status.sh,     230,7
setup-cloudflare-dns-automated.sh,     149,1
test-concurrent-memory.sh,     149,0
0,,
quick-deploy-starter.sh,      89,0
0,,
mass-cloudflare-github-connector.sh,     150,0
0,,
setup-pi-ssh-keys.sh,      65,0
0,,
blackroad-achievements.sh,     100,0
0,,
blackroad-netdump.sh,     279,2
just-ship-it.sh,     123,1
connect-all-projects.sh,      75,0
0,,
status-dashboard.sh,     384,20
memory-yellowlight-templates.sh,     798,41
memory-greenlight-templates.sh,    1989,104
deploy-bots-everywhere.sh,       8,0
0,,
deploy-all-domains.sh,     166,5
blackroad-direct-messaging.sh,      92,3
mass-deploy-all-domains.sh,     281,7
memory-dependency-notify-v2.sh,     376,9
memory-infinite-todos-daemon.sh,     285,8
trinity-codex-integration.sh,     226,0
0,,
deploy-blackroad-now.sh,      96,1
blackroad-progress-v2.sh,     187,5
setup-br-apps-railway.sh,      69,1
claude-skill-matcher.sh,     373,6
deploy-batch-2.sh,      44,1
cecilia-agent-registry.sh,     284,6
setup-subnet-routing.sh,      82,0
0,,
memory-til-broadcast-v2.sh,     393,7
memory-til-broadcast.sh,     393,7
test-deployments.sh,     394,19
